# NOTE: encode in UTF8 without BOM
# NOTE: 1. 要按照行车方向的顺序 2. dir-0: 东西向或南北向, dir-1: 西东向或北南向
# route_id, route_name, direction, parent_route_id, parent_route_dir, route_type, key_locs
# corridor
101,经一路,0,0,0,3,"31.968771 118.757791  10, 32.044838 118.779044  0, 32.060920 118.779012  0, 32.120243 118.762425 350"
101,经一路,1,0,0,3,"32.120143 118.762361 170, 32.060793 118.778851 180, 32.044797 118.778733 180, 31.969003 118.757560 190"

102,经二路,0,0,0,3,"31.973208 118.724107  45, 32.111169 118.747024 300"
102,经二路,1,0,0,3,"32.111033 118.746954 135, 31.973335 118.724086 225"

103,经三路,0,0,0,3,"31.979344 118.801471 300, 31.996663 118.788692   0, 32.062346 118.808854  20, 32.148156 118.811858 300"
103,经三路,1,0,0,3,"32.148156 118.811858 120, 32.062510 118.808586 200, 31.979312 118.801223 130"

104,经四路,0,0,0,3,"31.987205 118.707013  45, 32.096179 118.737687   0"
104,经四路,1,0,0,3,"32.096165 118.737633 180, 31.987332 118.706659 225"

105,经五路,0,0,0,3,"31.987946 118.795306  60, 32.029941 118.811360  10, 32.044340 118.813649  10, 32.121397 118.829488 0"
105,经五路,1,0,0,3,"32.121397 118.829359 180, 32.045195 118.812232 180, 31.988083 118.794995 200"

106,经六路,0,0,0,3,"32.004270 118.704926  10, 32.068735 118.725601   0"
106,经六路,1,0,0,3,"32.066380 118.725322 180, 32.004283 118.704669 190"

201,纬一路,0,0,0,3,"32.133672 118.861997 260, 32.102545 118.750583 340"
201,纬一路,1,0,0,3,"32.101541 118.749934 100, 32.133463 118.862082  80"

202,纬二路,0,0,0,3,"32.096824 118.869291 260, 32.087272 118.790824 300, 32.094347 118.730606 280"
202,纬二路,1,0,0,3,"32.094342 118.730303 100, 32.087122 118.790752 120, 32.096805 118.869698 80"

203,纬三路,0,0,0,3,"32.078972 118.802578 250, 32.066672 118.728262 270"
203,纬三路,1,0,0,3,"32.066399 118.728310  90, 32.078808 118.802482  70"

204,纬四路,0,0,0,3,"32.059349 118.807011 280, 32.059691 118.727584 270"
204,纬四路,1,0,0,3,"32.059577 118.727423  90, 32.059206 118.806646 100"

205,纬五路,0,0,0,3,"32.052344 118.894927 260, 32.037759 118.853261 260, 32.042418 118.720745 290"
205,纬五路,1,0,0,3,"32.042272 118.720385 110, 32.037682 118.853272  80, 32.052262 118.894960  80"

206,纬六路,0,0,0,3,"32.024637 118.863202 250, 32.025666 118.815411 260, 32.035120 118.767476 300, 32.032537 118.764354 180, 32.036635 118.729168 280"
206,纬六路,1,0,0,3,"32.036362 118.729147 100, 32.024991 118.780762  90, 32.025603 118.815540  80, 32.024455 118.863460  70"

207,纬七路,0,0,0,3,"32.008753 118.809327 280, 32.031254 118.708498 290"
207,纬七路,1,0,0,3,"32.031108 118.708508 110, 32.008399 118.811902 100"

208,纬八路,0,0,0,3,"31.994396 118.790353 320, 31.994787 118.772136 280, 32.018733 118.707597 290"
208,纬八路,1,0,0,3,"32.018428 118.707607 110, 31.994765 118.771809 100, 31.994347 118.790272 140"

209,纬九路,0,0,0,3,"31.987602 118.794408 240, 32.004650 118.702436 280"
209,纬九路,1,0,0,3,"32.004737 118.701814 100, 31.987393 118.794569  60"

#sub corridor
610,中山北路,0,0,0,2,"32.061340 118.778532 300, 32.089900 118.728697 280"
610,中山北路,1,0,0,2,"32.089854 118.728670 100, 32.061336 118.778468 120"

10101,经一安德门大街,0,101,0,2,"31.968771 118.757791  10, 32.014057 118.771985  30"
10101,经一安德门大街,1,101,1,2,"32.014125 118.771802 210, 31.969003 118.757560 190"

10102,经一中山南路,0,101,0,2,"32.014576 118.772199  20, 32.043381 118.778950   0"
10102,经一中山南路,1,101,1,2,"32.043294 118.778767 180, 32.014662 118.771990 210"

10103,经一中山路,0,101,0,2,"32.043581 118.778939   0, 32.079423 118.778981   0"
10103,经一中山路,1,101,1,2,"32.079473 118.778777 180, 32.043562 118.778767 180"

10104,经一中央北路,0,101,0,2,"32.079641 118.778987   0, 32.120243 118.762425 350"
10104,经一中央北路,1,101,1,2,"32.120143 118.762361 170, 32.079637 118.778772 180"

10201,经二凤台南路,0,102,0,2,"31.973208 118.724107  45, 32.011544 118.758153  60"
10201,经二凤台南路,1,102,1,2,"32.012054 118.758421 225, 31.973335 118.724086 225"

10202,经二内环西线南段,0,102,0,2,"32.012145 118.758818  50, 32.042907 118.761533 330"
10202,经二内环西线南段,1,102,1,2,"32.042698 118.761522 150, 32.013045 118.759408 210"

10203,经二内环西线北段,0,102,0,2,"32.043544 118.761157 320, 32.072268 118.752381   0"
10203,经二内环西线北段,1,102,1,2,"32.072236 118.752290 180, 32.043607 118.761029 150"

10204,经二大桥南路,0,102,0,2,"32.072663 118.752338 350, 32.111169 118.747024 300"
10204,经二大桥南路,1,102,1,2,"32.111033 118.746954 135, 32.072677 118.752252 170"

10301,经三卡子门大街高架,0,103,0,2,"31.979344 118.801471 300, 31.996663 118.788692   0, 32.006259 118.790946 350"
10301,经三卡子门大街高架,1,103,1,2,"32.006280 118.790803 180, 31.979312 118.801223 130"

10302,经三内环东线南段,0,103,0,2,"32.006700 118.790919   0, 32.040883 118.799041  10"
10302,经三内环东线南段,1,103,1,2,"32.040906 118.798901 190, 32.006926 118.790760 180"

10303,经三内环东线北段,0,103,0,2,"32.041429 118.799191  10, 32.062346 118.808854  20, 32.079063 118.804738 330"
10303,经三内环东线北段,1,103,1,2,"32.078762 118.804412 150, 32.041451 118.799068 190"

10304,经三和燕路,0,103,0,2,"32.079382 118.804727  50, 32.148156 118.811858 300"
10304,经三和燕路,1,103,1,2,"32.148156 118.811858 120, 32.079117 118.803924 120"

10401,经四江东中路,0,104,0,2,"31.987205 118.707013  45, 32.022674 118.733048  20"
10401,经四江东中路,1,104,1,2,"32.022778 118.732672 225, 31.987332 118.706659 225"

10402,经四江东中路快速道,0,104,0,2,"32.023387 118.733321  10, 32.059074 118.734571   5"
10402,经四江东中路快速道,1,104,1,2,"32.058892 118.734448 185, 32.023260 118.732844 210"

10403,经四热河南路,0,104,0,2,"32.059501 118.734582   5, 32.096179 118.737687   0"
10403,经四热河南路,1,104,1,2,"32.096165 118.737633 180, 32.059561 118.734459 185"

10501,经五大明路,0,105,0,2,"31.987946 118.795306  60, 32.025179 118.810875  10"
10501,经五大明路,1,105,1,2,"32.025143 118.810660 185, 31.988083 118.794995 200"

10502,经五北安门街,0,105,0,2,"32.025611 118.810907  10, 32.088362 118.828352 350"
10502,经五北安门街,1,105,1,2,"32.088316 118.828143 170, 32.025734 118.810714 190"

10503,经五墨香路,0,105,0,2,"32.088948 118.828180  30, 32.121397 118.829488   0"
10503,经五墨香路,1,105,1,2,"32.121397 118.829359 180, 32.088871 118.828003 160"

