# NOTE: encode in UTF8 without BOM
# NOTE: 1. 要按照行车方向的顺序 2. dir-0: 东西向或南北向, dir-1: 西东向或北南向
# route_id, route_name, direction, way_category, key_locs

1,"应天大街高架",0,1,"32.007706 118.796341 250, 32.072119 118.637056 300"
2,"应天大街高架",1,1,"32.071118 118.638359 120, 32.007542 118.796384  80"

3,"井字形内环",0,1,"32.008429 118.790074 220, 32.010799 118.766368 280, 32.013540 118.760466 320, 32.073147 118.752745 80, 32.073988 118.758153 45, 32.079639 118.780659 90, 32.078835 118.798024 120, 32.078153 118.799166 130, 32.077267 118.799279 180, 32.009248 118.790526 210, 32.008543 118.790172 220" 
4,"井字形内环",1,1,"32.007453 118.790225 50, 32.028620 118.796393 10, 32.060376 118.803174 0, 32.078978 118.798045 290, 32.079542 118.772511 270, 32.072803 118.752228 180, 32.049478 118.755275 150, 32.038311 118.763686 170, 32.013507 118.760245 150, 32.007785 118.778210 110, 32.007216 118.787340 50, 32.007094 118.789164 60, 32.007337 118.790054 60"

5,"玄武大道",0,1,"32.144253 119.033470 240, 32.078487 118.801030 240"
6,"玄武大道",1,1,"32.078350 118.800182  80, 32.144144 119.033502  60"

7,"江东快速路",0,1,"32.024767 118.733524  10, 32.071726 118.732993  60"
8,"江东快速路",1,1,"32.071754 118.732923 240, 32.025586 118.733567 190"

9,"扬子江大道",0,1,"31.948923  118.635312  60, 32.075190 118.730096  30"
10,"扬子江大道",1,1,"32.075163 118.729860 210,31.948404 118.634255 240"

11,"机场高速连接线",0,1,"31.979074 118.777673  20, 32.005826 118.790971 0"
12,"机场高速连接线",1,1,"32.005735 118.790843 180, 31.979129 118.777550 190"
